neighbourhood_cleansed,listing_count,median_price,mean_price,median_revenue,mean_revenue,median_occupancy,avg_rating,pct_superhost,pct_instant_bookable
Hoogte,21,117.0,130.71428571428572,2272.0,4839.9047619047615,18.0,4.84,0.238,0.381
ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,1110,75.0,107.27477477477477,2262.0,4675.338738738738,24.0,4.78,0.489,0.654
ΝΕΑ ΚΥΨΕΛΗ,62,52.0,71.61290322580645,2168.0,2945.1451612903224,27.0,4.76,0.387,0.484
ΙΛΙΣΙΑ,227,83.0,105.15418502202643,2016.0,4181.762114537445,24.0,4.83,0.507,0.67
ΕΛΛΗΝΟΡΩΣΩΝ,76,63.0,315.1842105263158,1980.0,5346.973684210527,18.0,4.78,0.316,0.487
Tentoonstellingswijk,10,94.5,109.1,1965.0,3534.8,14.0,4.73,0.2,0.0
Middelheim,6,121.5,132.5,1956.0,3961.0,27.0,4.77,0.333,0.333
ΑΜΠΕΛΟΚΗΠΟΙ,477,64.0,105.69392033542977,1944.0,3647.9685534591194,24.0,4.79,0.39,0.616
ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,590,57.0,81.38813559322034,1938.0,3831.8033898305084,24.0,4.69,0.295,0.583
ΚΟΛΩΝΟΣ,139,57.0,71.26618705035972,1872.0,4566.942446043166,24.0,4.8,0.381,0.626
ΠΕΔΙΟ ΑΡΕΩΣ,113,78.0,89.86725663716814,1824.0,3523.761061946903,12.0,4.68,0.451,0.584
ΠΕΝΤΑΓΩΝΟ,2,41.5,41.5,1620.0,1620.0,36.0,4.8,0.0,0.0
Wilrijk Centrum,16,81.5,99.6875,1614.0,3515.3125,18.0,4.6,0.375,0.188
ΑΝΩ ΚΥΨΕΛΗ,138,45.5,114.57246376811594,1608.0,2919.4057971014495,24.0,4.7,0.348,0.558
ΣΕΠΟΛΙΑ,65,56.0,91.03076923076924,1596.0,2519.769230769231,18.0,4.79,0.446,0.692
ΒΟΤΑΝΙΚΟΣ,125,73.0,121.384,1476.0,4202.984,18.0,4.82,0.488,0.68
ΚΥΨΕΛΗ,304,55.0,128.51644736842104,1404.0,2826.5098684210525,18.0,4.78,0.408,0.533
ΓΟΥΔΙ,270,71.0,80.64074074074074,1374.0,3162.4296296296297,18.0,4.77,0.4,0.611
ΠΡΟΜΠΟΝΑ,8,46.5,48.125,1359.0,1742.25,30.0,4.83,0.5,0.5
ΚΟΛΟΚΥΝΘΟΥ,14,44.5,48.42857142857143,1311.0,2742.4285714285716,33.0,4.87,0.357,0.643
ΝΙΡΒΑΝΑ,165,47.0,58.236363636363635,1296.0,3686.642424242424,18.0,4.71,0.321,0.57
ΑΝΩ ΠΑΤΗΣΙΑ,74,53.0,72.0,1245.0,2475.5945945945946,18.0,4.78,0.311,0.608
ΓΚΥΖΗ,119,54.0,65.9327731092437,1206.0,2368.344537815126,16.0,4.77,0.37,0.504
ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,173,49.0,63.84393063583815,1116.0,2761.023121387283,12.0,4.67,0.382,0.509
ΠΑΤΗΣΙΑ,165,47.0,158.3212121212121,1062.0,3310.787878787879,18.0,4.71,0.279,0.521
ΡΙΖΟΥΠΟΛΗ,13,39.0,53.92307692307692,1050.0,2352.923076923077,24.0,4.59,0.308,0.462
ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,36,43.0,66.80555555555556,939.0,2720.9166666666665,18.0,4.59,0.361,0.361
ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,105,58.0,70.81904761904762,900.0,3789.704761904762,18.0,4.8,0.314,0.6
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,89,52.0,562.0224719101124,792.0,8784.191011235955,12.0,4.66,0.169,0.461
Lambrechtshoeken,4,73.0,69.25,501.0,3426.0,9.0,4.92,0.25,0.25
Merksem - Heide,8,147.5,153.625,0.0,4146.0,0.0,4.87,0.25,0.125
Hoboken - West,4,78.5,156.75,0.0,3952.5,0.0,4.8,0.0,0.25
